Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,4.250000,4.125000,4.156250,0.713880,212800
1962-01-03,0.000000,4.187500,4.085938,4.187500,0.719247,422400
1962-01-04,0.000000,4.257813,4.187500,4.187500,0.719247,212800
1962-01-05,0.000000,4.171875,4.062500,4.078125,0.700462,315200
1962-01-08,0.000000,4.085938,4.031250,4.054688,0.696436,334400
1962-01-09,0.000000,4.085938,4.039063,4.054688,0.696436,315200
1962-01-10,0.000000,4.046875,4.000000,4.007813,0.688384,254400
1962-01-11,0.000000,4.031250,3.898438,3.992188,0.685701,225600
1962-01-12,0.000000,4.046875,3.914063,3.914063,0.672282,579200
1962-01-15,0.000000,3.960938,3.914063,3.953125,0.678991,211200
1962-01-16,0.000000,4.023438,3.937500,4.023438,0.691068,200000
1962-01-17,0.000000,4.031250,3.968750,3.992188,0.685701,113600
1962-01-18,0.000000,4.031250,3.976563,4.023438,0.691068,256000
1962-01-19,0.000000,4.015625,3.945313,3.976563,0.683017,142400
1962-01-22,0.000000,4.015625,3.953125,4.000000,0.687042,206400
1962-01-23,0.000000,4.039063,3.984375,3.984375,0.684359,137600
1962-01-24,0.000000,4.015625,3.968750,4.015625,0.689726,116800
1962-01-25,0.000000,4.031250,3.976563,3.992188,0.685701,347200
1962-01-26,0.000000,4.015625,3.976563,4.007813,0.688384,99200
1962-01-29,0.000000,4.023438,3.945313,3.945313,0.677649,180800
1962-01-30,0.000000,4.000000,3.945313,3.976563,0.683017,142400
1962-01-31,0.000000,4.187500,4.000000,4.125000,0.708512,273600
1962-02-01,0.000000,4.273438,4.109375,4.250000,0.729983,267200
1962-02-02,0.000000,4.312500,4.265625,4.296875,0.738034,200000
1962-02-05,0.000000,4.367188,4.281250,4.367188,0.750111,195200
1962-02-06,0.000000,4.375000,4.328125,4.375000,0.751452,176000
1962-02-07,0.000000,4.390625,4.343750,4.367188,0.750111,185600
1962-02-08,0.000000,4.375000,4.351563,4.359375,0.748769,97600
1962-02-09,0.000000,4.390625,4.281250,4.351563,0.747427,128000
1962-02-12,0.000000,4.343750,4.296875,4.312500,0.740717,92800
1962-02-13,0.000000,4.343750,4.250000,4.250000,0.729983,153600
1962-02-14,0.000000,4.250000,4.101563,4.125000,0.708512,150400
1962-02-15,0.000000,4.203125,4.117188,4.140625,0.711196,156800
1962-02-16,0.000000,4.203125,4.125000,4.140625,0.711196,182400
