Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.000000,5.000000,5.000000,5.000000,4.140570,3900
2002-07-02,5.166667,5.500000,5.000000,5.043333,4.176455,21000
2002-07-03,4.666667,5.333333,4.666667,5.000000,4.140570,30600
2002-07-05,5.000000,5.000000,5.000000,5.000000,4.140570,1500
2002-07-08,4.666667,4.666667,4.666667,4.666667,3.864533,900
2002-07-09,4.666667,5.166667,4.666667,5.166667,4.278590,6900
2002-07-10,4.583333,5.166667,4.583333,5.166667,4.278590,1500
2002-07-11,5.166667,5.166667,5.166667,5.166667,4.278590,0
2002-07-12,5.000000,5.000000,5.000000,5.000000,4.140570,300
2002-07-15,4.916667,4.916667,4.166667,4.250000,3.519485,128100
2002-07-16,4.250000,4.250000,4.166667,4.166667,3.450476,17700
2002-07-17,4.166667,4.166667,4.083333,4.166667,3.450476,7200
2002-07-18,4.100000,4.100000,3.916667,3.916667,3.243448,4200
2002-07-19,3.866667,3.866667,3.350000,3.500000,2.898400,32100
2002-07-22,3.500000,3.500000,3.333333,3.400000,2.815589,13800
2002-07-23,3.400000,3.400000,3.400000,3.400000,2.815589,300
2002-07-24,3.400000,3.500000,3.400000,3.500000,2.898400,6600
2002-07-25,3.500000,3.500000,3.383333,3.383333,2.801786,3900
2002-07-26,3.383333,3.383333,3.383333,3.383333,2.801786,0
2002-07-29,3.500000,3.700000,3.483333,3.700000,3.064023,12300
2002-07-30,3.750000,3.950000,3.750000,3.833333,3.174437,26700
2002-07-31,3.966667,4.000000,3.916667,4.000000,3.312457,15000
2002-08-01,3.933333,3.966667,3.933333,3.933333,3.257249,12900
2002-08-02,3.933333,3.933333,3.933333,3.933333,3.257249,0
2002-08-05,3.966667,4.000000,3.950000,3.950000,3.271051,85800
2002-08-06,4.000000,4.000000,4.000000,4.000000,3.312457,30000
2002-08-07,3.993333,4.016667,3.983333,4.016667,3.326259,13200
2002-08-08,4.033333,4.033333,4.016667,4.033333,3.340060,36900
2002-08-09,4.050000,4.050000,4.050000,4.050000,3.353863,10200
2002-08-12,4.050000,4.050000,4.033333,4.050000,3.353863,73200
2002-08-13,4.066667,4.066667,4.033333,4.066667,3.367665,11700
2002-08-14,4.050000,4.066667,4.050000,4.066667,3.367665,11100
2002-08-15,4.050000,4.050000,4.033333,4.033333,3.340060,2100
2002-08-16,4.000000,4.050000,4.000000,4.050000,3.353863,25800
2002-08-19,4.050000,4.050000,3.883333,3.883333,3.215843,26100
2002-08-20,3.866667,3.866667,3.866667,3.866667,3.202042,300
2002-08-21,3.966667,4.000000,3.916667,3.916667,3.243448,49200
2002-08-22,3.916667,3.916667,3.666667,3.666667,3.036418,106500
2002-08-23,3.666667,3.700000,3.666667,3.700000,3.064023,11100
2002-08-26,3.666667,3.666667,3.616667,3.623333,3.000534,35700
2002-08-27,3.616667,3.666667,3.503333,3.503333,2.901160,71700
2002-08-28,3.500000,3.500000,3.333333,3.366667,2.787985,74100
2002-08-29,3.400000,3.400000,3.366667,3.400000,2.815589,25500
2002-08-30,3.433333,3.433333,3.333333,3.333333,2.760381,12600
2002-09-03,3.316667,3.333333,3.100000,3.300000,2.732778,24000
2002-09-04,3.116667,3.166667,2.966667,3.100000,2.567154,267300
2002-09-05,3.100000,3.100000,3.100000,3.100000,2.567154,9300
2002-09-06,3.100000,3.233333,3.100000,3.233333,2.677569,91200
2002-09-09,3.250000,3.300000,3.233333,3.266667,2.705174,78000
2002-09-10,3.300000,3.316667,3.273333,3.300000,2.732778,108600
2002-09-11,3.333333,3.350000,3.300000,3.350000,2.774182,7200
2002-09-12,3.366667,3.366667,3.300000,3.300000,2.732778,12000
2002-09-13,3.300000,3.313333,3.300000,3.313333,2.743819,8400
2002-09-16,3.313333,3.333333,3.283333,3.333333,2.760381,30900
2002-09-17,3.250000,3.300000,3.250000,3.300000,2.732778,14400
2002-09-18,3.290000,3.290000,3.290000,3.290000,2.724495,4500
2002-09-19,3.266667,3.266667,3.266667,3.266667,2.705174,18600
2002-09-20,3.216667,3.216667,3.133333,3.133333,2.594758,8100
2002-09-23,3.250000,3.250000,3.233333,3.233333,2.677569,3600
2002-09-24,3.133333,3.133333,3.133333,3.133333,2.594758,6000
2002-09-25,3.200000,3.233333,3.166667,3.200000,2.649965,21000
2002-09-26,3.233333,3.233333,3.233333,3.233333,2.677569,3000
2002-09-27,3.200000,3.200000,3.100000,3.163333,2.619601,18600
2002-09-30,3.100000,3.116667,3.100000,3.116667,2.580955,9300
2002-10-01,3.166667,3.166667,3.166667,3.166667,2.622362,6000
2002-10-02,3.166667,3.166667,3.100000,3.156667,2.614080,26100
2002-10-03,3.183333,3.183333,3.183333,3.183333,2.636164,300
2002-10-04,3.183333,3.183333,3.183333,3.183333,2.636164,1500
2002-10-07,3.133333,3.166667,3.133333,3.166667,2.622362,3000
2002-10-08,3.100000,3.100000,3.083333,3.083333,2.553352,9600
2002-10-09,3.083333,3.100000,3.000000,3.000000,2.484343,57300
2002-10-10,3.000000,3.000000,3.000000,3.000000,2.484343,9000
2002-10-11,3.033333,3.033333,2.983333,3.000000,2.484343,59700
2002-10-14,2.983333,3.000000,2.966667,2.996667,2.481582,40500
2002-10-15,2.933333,2.933333,2.816667,2.883333,2.387730,70800
2002-10-16,2.816667,2.833333,2.750000,2.783333,2.304918,44100
2002-10-17,2.766667,2.766667,2.666667,2.750000,2.277314,29700
2002-10-18,2.750000,2.750000,2.750000,2.750000,2.277314,37200
2002-10-21,2.750000,2.750000,2.633333,2.683333,2.222106,12600
2002-10-22,2.666667,2.700000,2.666667,2.666667,2.208305,32700
2002-10-23,2.600000,2.600000,2.566667,2.600000,2.153097,6300
2002-10-24,2.566667,2.566667,2.400000,2.416667,2.001276,22500
2002-10-25,2.333333,2.400000,2.116667,2.400000,1.987474,131100
2002-10-28,2.500000,2.500000,2.333333,2.333333,1.932266,9600
2002-10-29,2.500000,2.583333,2.433333,2.583333,2.139295,23100
2002-10-30,2.433333,2.550000,2.416667,2.516667,2.084088,34200
2002-10-31,2.516667,2.516667,2.483333,2.500000,2.070285,27000
2002-11-01,2.450000,2.500000,2.450000,2.500000,2.070285,27600
2002-11-04,2.566667,2.566667,2.500000,2.500000,2.070285,13200
2002-11-05,2.500000,2.500000,2.500000,2.500000,2.070285,1500
2002-11-06,2.533333,2.533333,2.533333,2.533333,2.097890,900
2002-11-07,2.566667,2.566667,2.500000,2.500000,2.070285,8100
2002-11-08,2.500000,2.500000,2.500000,2.500000,2.070285,0
2002-11-11,2.566667,2.633333,2.556667,2.633333,2.180700,33600
2002-11-12,2.633333,2.633333,2.633333,2.633333,2.180700,15900
2002-11-13,2.633333,2.793333,2.633333,2.793333,2.313199,114900
